Title,Review,Rating,Have assessablity Issue,Assessability Issue Type
New update,canâ€™t open my zenith app after I updated the app recently and itâ€™s annoying,2,Yes,UI Accessibility Issues (UI)
This bank is worst nowâ€¦you guys should work on your app,This bank is worst nowâ€¦you guys should work on your app,2,No,Non-Accessibility Issues (NO)
Why,Why canâ€™t I login my account anymore since I updated this app,2,Yes,UI Accessibility Issues (UI)
Problem to be solved,I canâ€™t access my mobile app why?,2,Yes,UI Accessibility Issues (UI)
App issue,"Have been trying to open my app but itâ€™s going back to my screen 
 Please what can I do 
 Please treat urgently",2,Yes,UI Accessibility Issues (UI)
Not download,Every time I download this app it keep going back,2,Yes,UI Accessibility Issues (UI)
Crashing,Its keeps on crashing down,2,Yes,UI Accessibility Issues (UI)
Needs fixing,Lately you canâ€™t open the app at all..,2,Yes,UI Accessibility Issues (UI)
Refusal of my app to open,"My App is refusing to open ever since I updated it , whatâ€™s happening??",2,Yes,UI Accessibility Issues (UI)
Optimize for iphone xðŸ˜«ðŸ˜«ðŸ˜©,"Screen size too odd on my iphone X ðŸ“², please create an upgrade for that... ðŸ‘Œ",2,Yes,Audio and Visual Accessibility issues (AUDIOVISUAL)
App,This app has been the worst ever zenith will update so ever,2,No,Non-Accessibility Issues (NO)
Please help,I donâ€™t understand how to use this new app,2,Yes,Navigation and Interaction Problems (NAV)
ABDul,Why is it so difficult to recharge airtime on this App ?,2,Yes,Navigation and Interaction Problems (NAV)
New App not user friendly.,"After upgrade, the new Mobile Apps is challenging. It is rejecting my pin code which to my best of my understanding is the one used when I upgraded to new Apps. Can you make it user friendly? Itâ€™s frustrating my business transaction. For the upgraded Apps I will give 2Star for now.",2,Yes,Input and Control Issues (INPUT)
App not opening after updating,About 10 days ago I updated my mobile app because I saw the notification to update it on my App Store but after updating it I canâ€™t login again because the app keep going back to my screen please I need to make a transfer from my fixed account with the mobile app right now please do something quickly ðŸ™please be fast about it almost 2weeks now,3,Yes,UI Accessibility Issues (UI)
This app used to be very useful for me but,This app used to be very useful for me but since last week we be been having issues using my mobile banking. It keeps telling me my mobile device has been banned or something. I canâ€™t use ussd either keeps saying error loading system. Idk I canâ€™t do an transfer or buy airtime directly from my bank with this. Please help fix,3,Yes,UI Accessibility Issues (UI)
Mobile App logged out,I was using the App then all of a sudden I was logged out from the App.. i reactive the App but the next day I was logged out again. Trying to activate the app I keep getting already logged in error message but am not login yet. I went to the branch and complain and I was told it will worked with 24hrs but up till now no positive feedback.,3,Yes,UI Accessibility Issues (UI)
I have been logged out!,"After the update, my account was logged out and I canâ€™t even login again!
 I tried registering again with card details but itâ€™s not working pls you people should do something about it. Itâ€™s already a week plus since the update and I havenâ€™t been able to access my online banking!",3,Yes,UI Accessibility Issues (UI)
Please update your app to allow paste without crashing,"After updating my OS to iOS 16 I canâ€™t seems to be able to copy and paste account number without the app crashing. 
 Please scale the app to fit the new IOS tech should make love easy not hard!
 Thank you.",3,Yes,UI Accessibility Issues (UI)
It keeps going back to home screen,"I canâ€™t seems to access the app because it keeps going back without even opening at all. I donâ€™t understand why, Iâ€™ve deleted and re-downloaded the app again but itâ€™s still the same",3,Yes,UI Accessibility Issues (UI)
App Faulty,"This New App has been working perfectly on my iPhone until last night it start to say System Temporarily unavailable whenever I want to make transfer but if I use the normal app on my other System is working good, so please try fix it for us",3,Yes,UI Accessibility Issues (UI)
Unable to open This App,"I canâ€™t launch this app since yesterday.
 It keeps taking me back to home screen each time I clicked it.
 This is unlike ZenithMobile.
 This need to be fixed as soon as possible as I have so many transactions to carry out please",3,Yes,UI Accessibility Issues (UI)
App log problem,"Have been trying to log in to this app for a week now but is not going through , all because I updated my phone since I couldnâ€™t have access to this app again . Please do something about this.",3,Yes,UI Accessibility Issues (UI)
Application malfunction,After update my app I can not access it anymore it keeps force closing when I try to open it deleted and reinstalled same thing please rectify this immediately,3,Yes,UI Accessibility Issues (UI)
Canâ€™t login on my app,"I canâ€™t login on my app it keep taking me back to home screen. Have deleted the app and reinstall it, same thing keep happening. Please find something to do about it.",3,Yes,UI Accessibility Issues (UI)
Network issues,The way this app is not connecting to network sometimes is frustrating ðŸ™„ðŸ™„,3,Yes,UI Accessibility Issues (UI)
Please fix,Each time I paste account number or phone number on the app it crashes and have me to open again.,3,Yes,UI Accessibility Issues (UI)
Account Balance Update,"After every transaction, I always have to logout and login again before I view my updated balance. Please can you make account balances be live!?
 Like other banks.",3,Yes,UI Accessibility Issues (UI)
After updating issues,I am experiencing app not opening after update how do you resolve this issue please let me know thank you,3,Yes,UI Accessibility Issues (UI)
The app is not Working,LuI just downloaded the app and itâ€™s not even opening. It always go back to my phone screen anytime i try opening the app,3,Yes,UI Accessibility Issues (UI)
App not working after updating,"App refuse to open after updating going on for some days now and itâ€™s frustrating..
 Solution is needed very fast",3,Yes,UI Accessibility Issues (UI)
I changed my phone,"I changed my phone and since then Iâ€™ve not been able to use my mobile app on my new phone 
 What can I do please",3,Yes,Navigation and Interaction Problems (NAV)
Trouble accessing the app,I recently upgraded my iOS and now I canâ€™t log in to the app. I only get the register/ open account page . Please help,3,Yes,Navigation and Interaction Problems (NAV)
Receipt Of Transactions made,"Please you guys should work on the receipt part, I canâ€™t be screen recording all my transactions every time thanks ðŸ™",3,No,Non-Accessibility Issues (NO)
No more crash!!!,Zenith Bank app team have fix the crash on this new update. Next time you guys should confirm before releasing an update @ the app team.,3,Yes,UI Accessibility Issues (UI)
Help,Please I updated this app they are asking me to register again my ATM has expired already please can you restall the older version for me please,3,Yes,UI Accessibility Issues (UI)
Problem,"I updated my Zenith bank app and Iâ€™m unable to login to the app again, please fix this",3,Yes,UI Accessibility Issues (UI)
Update issues,Just did the update and the app keeps crashing,3,Yes,UI Accessibility Issues (UI)
App not opening again,"About 20days ago May bank app is not opening again, please help me fix it, I need your help in the app ASAP..please abeg...ðŸ™ðŸ™ðŸ™ðŸ™",3,Yes,UI Accessibility Issues (UI)
Bad networkðŸ˜©,I donâ€™t know whatâ€™s wrong ..my bank app wonâ€™t login ..pls is it bank server issue or is only me thatâ€™s experiencing such kind of error ðŸ˜’,3,Yes,UI Accessibility Issues (UI)
Why I canâ€™t Log in on my mobile app,Why I canâ€™t log in on my mobile app again,3,Yes,UI Accessibility Issues (UI)
It crashes,I can't open the airtime section of scheduled payments. It always crashes,3,Yes,UI Accessibility Issues (UI)
App not login in,Having difficulty logging into my app,3,Yes,UI Accessibility Issues (UI)
Trash ðŸš®,Zenith bank don scatter ðŸ™„ðŸ˜’,3,No,Non-Accessibility Issues (NO)
Trying to Zenith bank app and it will redirect back to phone screen menu,"I just Update my Zenith bank app. When trying to login the app keep bringing na back to my phone screen menu. I donâ€™t understand what is going on with this app now! 
 Please solution to this complain.
 Many thanks Zenithbank",4,Yes,UI Accessibility Issues (UI)
Zenith mobile app ðŸ’”,Iâ€™m not happy with this latest developments in zenith bank app. I canâ€™t login to my account and I have no card to do any of those token and other options to login.. this is heartbreaking as I need to make a payment from the bank app ðŸ˜­,4,Yes,Input and Control Issues (INPUT)
App,"Canâ€™t open on my phone it keeps taking back to my home screen and it been like this for the past 3weeksâ˜¹ï¸kindly please help get it fixðŸ™I have delete, update and reinstall but still the same",4,Yes,UI Accessibility Issues (UI)
App couldnâ€™t come up,I try to upgrade my zenith app but I canâ€™t so I deleted it and reinstalled it back. Once I click on the app it wonâ€™t come up,4,Yes,UI Accessibility Issues (UI)
App is crashing,"It was working so well until this second update I installed. Now I can't open the app anymore.
 
 Update on Sept 7, 2017
 
 - App is working very well and it's easy to use for transfers. I love it!",4,Yes,UI Accessibility Issues (UI)
Review on IPhone 12,"This is a great app. It is difficult to select menu from the top left corner on IPhone 12 Pro Max please fix this issue for smooth experience of the app.
 Thanks.",4,Yes,Navigation and Interaction Problems (NAV)
Data,I need to be able to buy data on my Bank app. It doesnâ€™t have to be airtime all the time.,4,No,Non-Accessibility Issues (NO)
A mess,"This has been the worst bank app,Zenith should make a better maintenance to this app unless it could lead to loss of customer fr",4,No,Non-Accessibility Issues (NO)
App appearances,The app is great!! Love it .. but you need to work on the balance appearance!! So it can hidden or visible depending on choice!! You canâ€™t be sending money in public and app displaying your balance.,4,Yes,UI Accessibility Issues (UI)
Error,My app is going back to home screen . What can be the cause ?and I really need to use it.,4,Yes,UI Accessibility Issues (UI)
Card dispense error manager,"Wow Iâ€™m so happy to update my online banking app, youâ€™re great, Iâ€™m so happy when I saw the card dispense error manager on my app, no stressing anymore.",4,No,Non-Accessibility Issues (NO)
Receipt,This app should be updated so receipt can be generated there after transfer,4,Yes,UI Accessibility Issues (UI)
Hide balance not really good,Itâ€™s a really good and impressive app very fast in transfer and any other kind of transactions but the show and hide function is too difficult to find.oneclick functions is likely advisable.the stress of hiding and showing balance is too much,4,Yes,UI Accessibility Issues (UI)
Obi1,"The works as it should. I have been trying to login for months, but I have been inputting the wrong pin. If you get Invalid Credentialsâ€¦.this means you are putting the wrong pin or your token is locked out. I hope this helps guys!",5,Yes,Input and Control Issues (INPUT)
Make the user experience easy,"Must I have a token before I can login with another phone?
 Why isnâ€™t my card number working anymore?",5,Yes,Input and Control Issues (INPUT)
Thank You,I just want to say thank you for fixing the bugs in version 4.1.4. Iâ€™m final back on banking on my iPhone.,5,No,Non-Accessibility Issues (NO)
Easy and Convenient App,This app meets all my needs and expectations. Keep up the good work.,5,No,Non-Accessibility Issues (NO)
Zenith app,The newly updated app is very nice,5,No,Non-Accessibility Issues (NO)
Frustrating,"This is really frustrating and annoying at the of where I need to make an urgent transfer. Then I realized my mobile app has been updated and I canâ€™t even find login option on it requesting me to register again and I donâ€™t have atm card anymore or even a token to register.. 
 please do something about this. 
 Thanks",5,Yes,UI Accessibility Issues (UI)
Bad update fix bug ðŸ˜’ðŸ˜’,"Today right now I upgraded the app on my phone because I lost my card and I deactivated it on the app immediately i did that, the app hanged up so I just think I should upgrade it I did the upgrading and I canâ€™t log in again because the app keep going back to my screen please I need to do something very important with my account right now do something",5,Yes,UI Accessibility Issues (UI)
Fingerprint problem,It is a good app but when you log out the app it ask you to login with your fingerprint sensor when u try to go to your home screen and press the button it logs u in can u put an toggle for wether u want to the finger scanner on or off before you log in. I know there is an option in the settings when u log in but it will be more convenient this way,5,Yes,UI Accessibility Issues (UI)
Problem,I have the same issues my app ask for update I did it after which any time I want to login to my app itâ€™s will always take me back to me phone home page back....I donâ€™t know whatâ€™s the problem I donâ€™t have any network issues....whatâ€™s the problem.....?please us guys should resolve this issue ðŸ˜’ðŸ˜’,5,Yes,UI Accessibility Issues (UI)
Mobile app issues,"I am unable to open my app 
 It has been showing me no network reconnecting for some days now
 I even uninstalled and installed a new one still the same thing please help me rectify this problem because I really need my app working in no time thanks ðŸ™ðŸ™ðŸ˜Š",5,Yes,Navigation and Interaction Problems (NAV)
Unable to login to the app,"I saw a notification to update my ZenithMobile app which i did, since i have not been able to log into the app, it keeps redirecting me to the home screen. This is so annoying, you guys should do something about it.",5,Yes,UI Accessibility Issues (UI)
In pains,I still canâ€™t use my mobile app itâ€™s almost one week now after I had to update my app since then when I try to open it they bring me back to the screen please I really need your help please do something fast,5,Yes,UI Accessibility Issues (UI)
Big problem,"Hello. I was trying to update my zenith bank app on my App Store but it didnâ€™t work, and itâ€™s not loading to show its downloading, Iâ€™ve tried all I can but nothing seems to be working, and the app is not working on my iPhone",5,Yes,UI Accessibility Issues (UI)
Zenith bank network issue,Iâ€™m so disappointed for the past few days we having been having an issue with bank network and unable to login mobile app,5,No,Non-Accessibility Issues (NO)
Problem with selecting date range,Good app. Dev team should quickly address the issue with selecting date range while calling up transaction history... it keeps defaulting to a particular month and date.,5,Yes,Navigation and Interaction Problems (NAV)
Zenith bank is trash!!!,"I was debited #2,000 #2,000 twice making #4,000 since June 3rd and hasnâ€™t been reverse back. Zenith bank is so annoying this days.. you guys should work on your bank and get me back my funds okðŸ˜¡ðŸ˜¡ðŸ˜",5,No,Non-Accessibility Issues (NO)
Bad update,Have been trying to login my app but I canâ€™t it just hang and stop working I have deleted it and got a new one but the issue is still the same,5,Yes,UI Accessibility Issues (UI)
Why is my app not launching? I donâ€™t understand,Iâ€™ve been trying to launch my app since 2weeks ago now but it ainâ€™t opening. Once I click on the app itâ€™ll automatically go back to my phone home page. Why????,5,Yes,UI Accessibility Issues (UI)
Change your bank app,When I want to do a transfer I have to do a screen record because after sending it wonâ€™t show the amount I sent,5,Yes,UI Accessibility Issues (UI)
My application,Please I days ago I updated my app and I canâ€™t login again and then I need to do a transfer quickly please I wants to have access to the app,5,Yes,UI Accessibility Issues (UI)
EaZymoney review,"Really great app, functionalities and aesthetics are on point. EaZymoney provides you the convenience of carry out transactions on your bank account and also from your wallet even without a bank account.",5,No,Non-Accessibility Issues (NO)
Bug fix,I just upgraded this app now and when I try opening it takes my back to my phone home screen,5,Yes,UI Accessibility Issues (UI)
ðŸ˜Š,"This new app is waaaayyyyy better than the old one, but please can we get an instant receipt feature? Having to wait for an email to get a receipt for transactions is depressing.",5,Yes,UI Accessibility Issues (UI)
Itâ€™s not showing login,I just open an account and instead of it to show login is showing register pls help me out itâ€™s very urgent,5,Yes,UI Accessibility Issues (UI)
Stupid bank,Very annoying and slow,5,Yes,UI Accessibility Issues (UI)
App going back to my screen,Good day zenith please what is it about your app that I canâ€™t open or make transfer anymore,5,Yes,UI Accessibility Issues (UI)
All Beneficiaries saved are wiped,"due to the recent update, my beneficiaries are gone, thereâ€™s alot of bugs needs to be fixed!",5,Yes,UI Accessibility Issues (UI)
Bank issues I donâ€™t like it,This app keep giving me issues I donâ€™t like please you people should solve it,5,Yes,UI Accessibility Issues (UI)
Oyeniyi,I updated my Zenith app on my iPhone seen then it keep on going back I canâ€™t even log in at all please do some thing please,5,Yes,UI Accessibility Issues (UI)
Best app ever!,This is one of the simplest banking apps I've ever encountered. Just sent airtime credit to someone from my phone and they instantly got it! No glitches so far. Zenith I'm more than impressed.,5,No,Non-Accessibility Issues (NO)
App not opening,I just downloaded the app and I tapped in but it took be back to my home screen.,5,Yes,Navigation and Interaction Problems (NAV)
Perfecto!,"This new app is a close relative to perfection. Itâ€™s an absolute bomb. No Nigerian bank can boast of a user-friendly, delicate & neat design as this new Zenith app. Hats off for the programmers who developed the app. 
 
 But we need features like instant receipt. 
 And when you want to send airtime it doesnâ€™t read your contact list and allow you choose a number. 
 
 That needs to be worked on ,however ; nevertheless, the app is good.",5,Yes,UI Accessibility Issues (UI)
Zenith,Why canâ€™t I login to my online banking itâ€™s showing me register and open account,5,Yes,UI Accessibility Issues (UI)
Request for a new ATM card,It will be nice if we can request for a new ATM Card on the mobile app! In cases of expired cards instead of coming to the bank to request,5,No,Non-Accessibility Issues (NO)
I had a problem with latest release app,The app is now working on my iPhone 6s,5,No,Non-Accessibility Issues (NO)
Canâ€™t see my transfer history,Canâ€™t see my transfer history,5,Yes,UI Accessibility Issues (UI)
App,"My app keep going back to the screen and I have an emergency to attend to,need to pay hospital bill pls help",5,Yes,UI Accessibility Issues (UI)
Easy EaZyMoney,Fantastic App!! It's as easy as bringing out money from your physical wallet. Waiting for upgrade to full mobile banking Apps on iOS,5,No,Non-Accessibility Issues (NO)
Efficient,Quick and easy to use ðŸ’¯,5,No,Non-Accessibility Issues (NO)
Complain,I try to download this app and itâ€™s taking me to my billing address,5,Yes,Navigation and Interaction Problems (NAV)
Keeps closing!!,My zenith mobile app keeps closing anytime I open it.,5,Yes,UI Accessibility Issues (UI)
I do need the old zenith mobile app,I do need the old zenith mobile app,5,No,Non-Accessibility Issues (NO)
App not popping up,Please my app is not popping up on my iPhone 6 Plus . What must I do,5,Yes,UI Accessibility Issues (UI)
Hello,"The app is not opening on my phone anymore, I am confused, please help me resolve this as soon as possible",5,Yes,UI Accessibility Issues (UI)
BAD REVIEW,"Itâ€™s been 3 days, my zenith app is not opening . This is very annoying",5,Yes,UI Accessibility Issues (UI)
I need odd one,I need the odd One this is not work for my phone.,5,Yes,UI Accessibility Issues (UI)
Why is my app not launching?,Anytime I Enter my bank app it will bounce back and itâ€™s not responding,5,Yes,UI Accessibility Issues (UI)
My review,Well idk why yâ€™all locked my account ðŸ¤¦ðŸ½â€â™‚ï¸,5,No,Non-Accessibility Issues (NO)
Beautiful App.,Looks pretty! Easy to navigate well done Zenith,5,No,Non-Accessibility Issues (NO)
Excellent,"Very reliable, swift and handy. Its user friendly ðŸ˜€. Best mobile app ever ðŸ˜‰",5,No,Non-Accessibility Issues (NO)
Save4me,How to I open a save4me account on the new app,5,Yes,Navigation and Interaction Problems (NAV)
Great App,"It's a very great app, functional and easy to use.",5,No,Non-Accessibility Issues (NO)
Edubrazil,I love banking with zenith bank,5,No,Non-Accessibility Issues (NO)
Nice App,This app is okay just that some people might experience some issues with the App registration. Message the Zenith Bank Customer Care Service @ (09135041668) for help on registration.,5,Yes,Navigation and Interaction Problems (NAV)
Urgent Complaint,About 4 days ago I updated my app only to find out that I canâ€™t login my app anymore. Am always redirected back to my home screen pls I will be very excited if you can rectify this problem for me as quickly as possible.thanks.,5,Yes,UI Accessibility Issues (UI)
Simplicity and Flexibility,"Zenith bank mobile app v2.12.12 is the Best mobile banking app have ever seen, Flexible and so easy to use. Especially the billers aspect. Now they are using quicktellerâ€™s API to pay bills alongside with Zenithbiller......Zenith ðŸ’•ðŸ¥° â¤ï¸",5,No,Non-Accessibility Issues (NO)
Worst Bank Ever!,Take your money and run! I have lost over $700 to access bank that was never recovered. Then recently it happened again and this time if they donâ€™t return my money I will report to Central Bank and sue them for much more money! They also disabled my card without my consent and havenâ€™t been able to rectify that at all. If you depend on this bank itâ€™s just a matter of time before the royally screw you over! If you know whatâ€™s good for you RUN!!!,1,No,Non-Accessibility Issues (NO)
Annoying app,"Access bank with all due respect what type of programmer made your current app
 I love access bank but this app is the worst thing Iâ€™ve seen in my life 
 An update is suppose to make an app much more flexible 
 This new update on your app takes too much time to load please fix the bug or go back to the old app this one is really annoying and makes the process of transfer tiring",1,Yes,UI Accessibility Issues (UI)
5 years still no standing order,"Standing order is not available, u canâ€™t sent to other momo numbers . Quite handicap. U have to go to the bank first.
 
 And now their bank charges is standard with every bank, think of moving to Ecobank which has a all inclusive app.",1,Yes,Navigation and Interaction Problems (NAV)
Useless update,I wish I read reviews before upgrading this useless app. It's make me to lose money daily. Whenever I do transfer it will tell me error then I try again after some time I will be getting debit alert on all the errors. To log in with my face IF on my iPhone x is a big problem. Pls let's go back to the previous one,1,Yes,UI Accessibility Issues (UI)
I dislike accessbank now,"I donâ€™t often leave reviews on anything at all, but seeing how this new upgrade is frustrating, I want to say drop dead Access bank! From blocking peopleâ€™s accounts trying to fight for Nigeria to this stupid thing you call an app, useless bank, useless app! When I get to Nigeria, Iâ€™m closing my account. Zoo bank!",1,No,Non-Accessibility Issues (NO)
App Freezes,"This new update is a total trash. Nothing works and you canâ€™t even login into your account.
 The moment you try doing something then it freezes.
 I think you guys should work on the bugs in the new update. Nice interface though.",1,Yes,UI Accessibility Issues (UI)
Worst banking app everðŸ˜ž,I keep trying to login and it keep telling me network error check your internet connection not sure whatâ€™s wrong with your bank or app but please you guys better figure this out because Iâ€™m not sure whatâ€™s going on,1,Yes,UI Accessibility Issues (UI)
Keeps asking for device unlock.,"After I changed my and did a device unlock. The app keeps asking for a device unlock whenever I login. Additionally, at times it fails to recognize my login details both finger print and password. This version is poor.",1,Yes,Input and Control Issues (INPUT)
It wonâ€™t allow you login on iOS 13.6.1,"It seems the app is not working with iOS 13.6.1 since I downloaded the update Iâ€™m unable to login, it keeps bouncing back, it will load for several minutes and crash.. Pls update the bug and fix things back.",1,Yes,UI Accessibility Issues (UI)
Update is so useless,"Since the last update you can not make any transfer out of the device, you can't even scroll the page and going to the bank hall to complain they will be arguing with you. This is completely useless app",1,Yes,UI Accessibility Issues (UI)
Slow reversal process,"You need to improve in all aspect, Manual reversal is nothing to write home about. AccessBank is getting worst than any other banks. I wonder why a customer will have to count 25days and still counting after a complain about money debited for a failed transaction.",1,No,Non-Accessibility Issues (NO)
Trash trash trash trash..,"This new update is trash. Not working properly. It keeps loading and loading..too many errors during transactions. the bank is cool but this new app update is trash. Please bring back the old app
 
 This is the most foolish banking app ever. Wasted app",1,Yes,UI Accessibility Issues (UI)
Poor update,I donâ€™t normally give reviews but this previous update is terrible.. i send and receive money for a living... this is terrriblee i hate this update.. i nor know who come send meeeeeee i for nor just upgrade this app i swearrr.. whoever do this update deserve 5 hot slap then one knock for e forehead... arrant nonsense,1,Yes,UI Accessibility Issues (UI)
Useless App,"The GUI is all nice and attractive but the functionality of the app is hopeless. When I try to make a transaction, it tells me my session has expired.
 How tf my session expire when Iâ€™m actively using the app???
 Itâ€™s such a poorly designed app. You should fire your programming team.",1,Yes,UI Accessibility Issues (UI)
Nothing works with new update,"Most features no longer working with new update, I regret updating to this new version. It just takes up space now on my phone no longer useful",1,Yes,UI Accessibility Issues (UI)
Taking forever to long in,I sit infront of my phone for several minutes to log in but nothing happens. Anything else then the app freezes.,1,Yes,UI Accessibility Issues (UI)
Is anyone listening ??,I don't typically give reviews also but the current update that is being complained about is cause for concern and reason to rethink who we the customers consider as banking partner is. It's pretty much rendered this app useless.,1,No,Non-Accessibility Issues (NO)
Hurtful,"Please I tried to deposit 60gh into my bank account, the money has to be deducted from my mobile money account but it's not credited to my bank account.",1,No,Non-Accessibility Issues (NO)
Bad update,"The latest update is so terrible. After updating, my saved logins were wiped off and I cannot log in again even after entering my details ðŸ¤¦ðŸ½â€â™‚ï¸",1,Yes,UI Accessibility Issues (UI)
New update not working for Ghana customers,"I am using iPhone 11 Pro and I can not log on to my account in Ghana .
 When I enter the user name and password . It acts like it logging it but it keeps loading .
 And it never open.",1,Yes,UI Accessibility Issues (UI)
Not happy,You people donâ€™t are always doing maintenance... I nearly got killed because of this stupid maintenance... I donâ€™t want again .. leave it like that .. every week maintenance.. today today being 16 oct .. maintenance again,1,No,Non-Accessibility Issues (NO)
Worst app in this life,Worst app ever. If there was a zero star that would be nice. Canâ€™t login keeps telling me to update app when itâ€™s the latest version on my device,1,Yes,UI Accessibility Issues (UI)
Unable to sign,I've been trying registering for access mobile for the past months...all I get is network error message . please fix this,1,Yes,UI Accessibility Issues (UI)
ðŸ˜,Why keep this app on here when itâ€™s not working? You just make one to waste internet data to download it. Just get it off the App Store or playstore,1,No,Non-Accessibility Issues (NO)
Gash!!!!,"Is there a way I can go back to the previous version? Never had a problem with that, should have read the reviews before downloading this.",1,No,Non-Accessibility Issues (NO)
Sign in Issues & Personal Info. Is Unprotected,I cannot sign in & I received a phone call from someone that has my personal details.,1,Yes,UI Accessibility Issues (UI)
Scammer bank,"Iâ€™m not sure AccessBank is kind of bank people can be trust,cos they locked my money on their virtual card for 2weeks now and they said their upgrading take forever",1,No,Non-Accessibility Issues (NO)
No access,"If you looking to pay for bill urgently, this app is not for you. Itâ€™s says unavailable most times",1,No,Non-Accessibility Issues (NO)
Disappointed,"Trash! Doesnâ€™t work, trying to signup for days wonâ€™t let me. I was hoodwinked into downloading it at the bank. Trash!",1,No,Non-Accessibility Issues (NO)
Logins,It canâ€™t login on my phone Buh on your page I can I just donâ€™t know why it misbehaving please try and fix that,1,Yes,UI Accessibility Issues (UI)
Bad bank network,"What kind of bank has network issues every weekend??
 Close down your bank",1,No,Non-Accessibility Issues (NO)
Please don't use,This app especially the new update is pretty useless. Can I get the old one back please. I can't even login and it won't accept my fingerprint,1,Yes,UI Accessibility Issues (UI)
I would advise you don't download this c**p,"The Ux is very nice and well understandable and that I why I'm giving you guys 1star.....
 
 I think your app is not useful for phones with smaller screen resolution I.e I couldn't scroll.
 I can't perform any transaction on this app apart from logging into it......
 
 Anyways, I have deleted it because it isn't useful 
 But I must confess the GUI design is really nice",1,Yes,Navigation and Interaction Problems (NAV)
I can't transfer,Please fix bug fix am unable to transfer after updated my ap this morning fix ASAP,1,Yes,UI Accessibility Issues (UI)
OTP issues,I havenâ€™t been able to get an otp from the app after several trials,1,Yes,Input and Control Issues (INPUT)
Horrible new app that crashes all the time,This new app crashes as soon as I log in. Every time. Waste of time,1,Yes,UI Accessibility Issues (UI)
Most useless update,New update keeps freezing when I try to login. This update is very useless!,1,Yes,UI Accessibility Issues (UI)
Activate,Poor Customer service is over one week now AccessBank canâ€™t activate my account canâ€™t make use of my own money every day one storyâ€™s make una fear God,1,No,Non-Accessibility Issues (NO)
Itâ€™s so buggy,Please the new app is so buggy for transfers it keeps wrongly saying amount in account,1,Yes,UI Accessibility Issues (UI)
Need improvement,I donâ€™t know why I canâ€™t login with a new device if my old is stolen or missing,1,Yes,Input and Control Issues (INPUT)
Not compulsory I enable location,Why does it keep asking me to enable location whenever I open it.,1,Yes,Navigation and Interaction Problems (NAV)
Avoid updating the app,"Can't login after update. If it's currently working for you, DON'T bother with the update.",1,Yes,UI Accessibility Issues (UI)
Invalid account number,"The app keeps rejecting my account details,saying itâ€™s invalid",1,Yes,Input and Control Issues (INPUT)
Bad service,You people are not serious charley,1,No,Non-Accessibility Issues (NO)
App not working,The new update has caused a lot of functions not to work.,1,Yes,UI Accessibility Issues (UI)
Showing invalid transaction everytime,I couldn't make transfer to anybody. Very bad,1,Yes,UI Accessibility Issues (UI)
Bad app,So many time I try to do transactions on this foolish app but it wonâ€™t work,1,Yes,UI Accessibility Issues (UI)
Anger,"Worst bank ever
 Slow service 
 Can leave you stranded ðŸ˜¡ðŸ˜¡ðŸ¤¯ðŸ¤¬",1,No,Non-Accessibility Issues (NO)
Thieves,Canâ€™t even log in...this bank donâ€™t mean business,1,Yes,Input and Control Issues (INPUT)
olatunde,"this app is the most useless app have ever come accross, can't long in...I regret the update #trash",1,Yes,Input and Control Issues (INPUT)
Help,Please this new app isnâ€™t good I canâ€™t login to my bank,1,Yes,Input and Control Issues (INPUT)
God awful!!!!,No reason to update the app with this technological travesty.,1,No,Non-Accessibility Issues (NO)
Canâ€™t Register,Donâ€™t know why I canâ€™t register ..,1,Yes,Input and Control Issues (INPUT)
USELESS,"I would have rate 0 stars if I could.
 Most useless poor app.",1,No,Non-Accessibility Issues (NO)
.,Not working in my iPhone,1,Yes,UI Accessibility Issues (UI)
Not working,Worst access app ever!,1,Yes,UI Accessibility Issues (UI)
Flop,New version is a flop.. iPhone X face if problem,1,Yes,Audio and Visual Accessibility issues (AUDIOVISUAL)
Ho-rri-ble,The update was a mistake. It's not even optimised for the iPhone X. It was a mistake updating tbh!!!,1,Yes,UI Accessibility Issues (UI)
Shame I can't Leave Negative Stars,"As someone who uses 2 apps from competing banks, to call this app disappointing would be an understatement. I've been trying to log in for 3 days. I have a token and online banking but it seems I need a PhD to login to the mobile banking app. Even when I think I've succeeded, I get a white screen of death telling me the problem is now with my internet connection. Funny, my GTBANK app works just fine with the same internet connection.",1,Yes,Navigation and Interaction Problems (NAV)
Useless,"I am giving one star because apple insists I give you one star. When you own something and you can't use it is referred to as useless, that's what this app is. I called Access bank severally and sent emails and the response was more useless than the app. It is not mandatory to have an app, you people should stick with the banking hall model that you are familiar with instead of protecting my money from me.",1,No,Non-Accessibility Issues (NO)
Unable to do any transaction!,This version is very very worst you can not send money from your account. Giving different kind of errors. It's either you reverse the previous version quick or you correct the errors ASAP!,1,Yes,UI Accessibility Issues (UI)
Useless app for me.,"Simply inconvenient, it can only be used on one and only one device. GTBank app is fat better. And to deactivated one of your devices you must go to the bank. Wish there was a way to give zero star",1,Yes,Navigation and Interaction Problems (NAV)
Not working,It kept saying no internet connection even when all other apps are working fine. Bad app. That's why I don't like using your account. Y'all lacking behind.,1,Yes,UI Accessibility Issues (UI)
Application wrong,This application has never been so wrong that for over a month now I cannot transfer or make transaction through the app,1,Yes,UI Accessibility Issues (UI)
Can't log in,"Same experience, after installing and getting a pin the app has refused to work. It won't even let me log in.",1,Yes,UI Accessibility Issues (UI)
